FID,GEOID10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,TotDis,TotChild,OlderAdult,Low_to_No,LEP,POC2,MedIllnes,Name,Shape__Area,Shape__Length
1,25025010405,3914567.54,89.8661,5522,994,470,60,331,1191,1522,1755,2131.22,Mission Hill,3.9731689711e-05,0.046606703233607
2,25025010404,1472713.92,33.8089,5817,1862,299,77,56,2387,2443,1749,2201.14,Fenway,1.494808436e-05,0.017437192143295
3,25025010801,1376667.12,31.6039,2783,1899,84,281,390,72,462,447,1214.76,Back Bay,1.3975865066e-05,0.021367900526519
4,25025010702,3228780.12,74.1226,2400,1643,45,86,285,187,472,320,1014.2,Back Bay,3.2777259302e-05,0.026152257947636
5,25025010204,2741497.18,62.9361,3173,1283,131,13,36,895,931,1039,1181.78,Fenway,2.7828138435e-05,0.025103492344748
6,25025010802,1673329.62,38.4144,3059,2106,109,232,428,309,737,517,1245.52,Back Bay,1.6986886383e-05,0.022044296764161
7,25025010104,3086172.34,70.8488,4804,2136,238,85,382,1024,1406,1664,1865.37,Back Bay,3.1328275672e-05,0.032742953323854
8,25025000703,1916064.65,43.9868,2791,1418,99,31,31,1740,1771,1083,1029.6,Allston,1.9450947919e-05,0.025366890098239
9,25025000504,3586159.72,82.3269,4985,2726,700,35,837,1967,2804,1123,2113.6,Brighton,3.6399346002e-05,0.034292127951419
10,25025000704,2580833.98,59.2478,4801,2405,301,142,113,1560,1673,1928,1802.25,Allston,2.6198822389e-05,0.02210225508705
11,25025010103,2938702.47,67.4633,4569,528,122,34,16,392,408,1995,1629.62,Fenway,2.9831541092e-05,0.034155628312262
12,25025000803,12465804.76,286.1755,6584,946,285,168,96,598,694,2649,2378.26,Fenway,0.000126562813504,0.08205545916295
13,25025980300,22640579.76,519.7562,338,2,136,0,64,242,306,191,149.4,Jamaica Plain,0.000229661864431,0.066547956564813
14,25025120201,7743687.53,177.7706,3439,1726,378,571,306,1221,1527,1536,1345.15,Jamaica Plain,7.8553548043e-05,0.040206443173003
15,25025120104,3124502.39,71.7287,2095,1060,137,342,146,403,549,736,802.52,Jamaica Plain,3.1695858964e-05,0.027106744802986
16,25025110607,12606722.98,289.4105,5077,2227,486,772,987,675,1662,992,2177.4,Roslindale,0.000127855503655,0.067185524049744
17,25025000302,6845240.11,157.1451,3142,1346,243,335,334,754,1088,847,1259.57,Brighton,6.9484476976e-05,0.039591694265378
18,25025000301,6159816.07,141.4099,2740,1219,326,280,357,379,736,690,1115.87,Brighton,6.2534156944e-05,0.038715436489654
19,25025140400,20351684.25,467.2104,7650,2906,760,1839,1019,1654,2673,6984,2980.22,Roslindale,0.000206336374015,0.088299857686183
20,25025140300,17100930.39,392.5833,6382,2525,983,900,1016,1361,2377,5198,2480.86,Hyde Park,0.000173350084726,0.076043245480304
21,25025140201,15233749.25,349.7188,2072,935,161,366,131,160,291,1094,792.52,Hyde Park,0.000154370465534,0.072390935710328
22,25025140202,16745324.86,384.4198,5600,2081,745,1401,725,840,1565,3200,2153.35,Hyde Park,0.000169719654856,0.05779575455082
23,25025140102,23198637.86,532.5674,4401,1654,529,975,546,666,1212,2702,1660.79,West Roxbury,0.000235113947053,0.089336904762405
24,25025100800,19049295.24,437.3116,5546,2702,1041,1585,772,864,1636,2650,2169.73,Mattapan,0.00019315938503,0.082584061807192
25,25025100601,5947564.59,136.5373,5154,2192,450,1006,429,841,1270,3052,1878.33,Dorchester,6.031987208e-05,0.037459926849644
26,25025100500,9244789.61,212.2312,5989,2383,894,1413,493,1256,1749,5193,2149,Dorchester,9.3756337013e-05,0.046814378467217
27,25025100400,6739591.92,154.7197,4865,1830,723,1016,599,1090,1689,4308,1839.6,Mattapan,6.8342890673e-05,0.040535759103607
28,25025100300,5294161.33,121.5372,3303,1262,672,1052,355,1305,1660,3183,1199.65,Mattapan,5.3686327624e-05,0.032821237525903
29,25025130402,24463363.16,561.6015,4637,2196,614,716,816,380,1196,942,1931.52,West Roxbury,0.000248036086758,0.086373821558368
30,25025130300,15522347.97,356.3441,4419,1811,297,1004,690,188,878,742,1752.17,Roslindale,0.00015739802712,0.057901839904091
31,25025130200,14558816.72,334.2244,4506,1914,301,872,746,192,938,593,1874.69,Roslindale,0.000147646629079,0.059031824936017
32,25025130100,47252103.12,1084.759,5906,2816,702,1135,1043,379,1422,1117,2388.24,West Roxbury,0.00047921948715,0.116501548193121
33,25025120700,3201881.94,73.5051,2014,1044,179,173,239,410,649,747,830.1,Jamaica Plain,3.2490222045e-05,0.032861172391611
34,25025120600,2779177.05,63.8011,2335,1103,171,240,104,259,363,584,900.54,Jamaica Plain,2.819867564e-05,0.021098512651235
35,25025120500,2300163.94,52.8045,2331,905,260,456,166,752,918,1567,875.52,Jamaica Plain,2.3338986498e-05,0.02515671459836
36,25025120400,10751638.6,246.8237,5751,2825,405,740,403,1148,1551,1407,2368.06,Jamaica Plain,0.000109081731048,0.05751734081242
37,25025110601,15228405.8,349.5961,2969,1295,335,443,843,159,1002,389,1341.12,Roslindale,0.000154458011695,0.055378128655056
38,25025110502,7365204.55,169.0818,3806,1684,347,659,461,481,942,1736,1504.48,Roslindale,7.4688261959e-05,0.040239564940954
39,25025110501,6972865.51,160.075,3253,1371,529,840,501,638,1139,954,1283.32,Roslindale,7.0708835395e-05,0.036727275736666
40,25025110401,5623201.08,129.0909,3566,1362,440,853,303,985,1288,2449,1298.43,Roslindale,5.7026266244e-05,0.03198731846511
41,25025101102,6040704.52,138.6755,4396,1672,900,1413,507,2158,2665,4342,1593.41,Mattapan,6.1253012856e-05,0.042873058182513
42,25025101101,4087498.72,93.8361,3155,1160,461,918,366,827,1193,3126,1149.59,Mattapan,4.14498946e-05,0.027645037705108
43,25025101002,12588331.04,288.9883,4979,2149,914,1239,777,1475,2252,4778,1926.43,Mattapan,0.000127636891729,0.053851747564698
44,25025101001,14014997.85,321.7401,5480,2266,1098,1136,698,1518,2216,5347,2163.21,Roslindale,0.000142097923799,0.062095682851433
45,25025100900,10776155.25,247.3865,4072,1729,507,945,478,1315,1793,3139,1544.95,Mattapan,0.000109262107291,0.069588595404264
46,25025981600,6512223.54,149.5001,0,0,0,0,0,0,0,0,0,East Boston,6.6147294622e-05,0.068197165728883
47,25025051101,12481789.43,286.5425,6093,2345,655,1430,690,2013,2703,2904,2326.07,East Boston,0.000126781354225,0.092788038109913
48,25025051000,11241128.12,258.0608,4089,1784,831,888,762,939,1701,1873,1611.39,East Boston,0.000114176530423,0.065259048967975
49,25025030400,1169226.18,26.8417,2451,1659,185,144,215,572,787,198,1020.89,North End,1.1871836159e-05,0.019281417562375
50,25025030300,7441425.2,170.8316,4872,2960,678,310,1001,831,1832,884,2185.21,North End,7.5552203108e-05,0.072261943205003
51,25025981300,77303253.63,1774.6385,389,245,0,55,0,16,16,131,151.28,East Boston,0.000784906582173,0.188602150097109
52,25025110103,10064472.96,231.0485,5460,2353,624,1264,357,1584,1941,3322,2036.89,Roslindale,0.00010208181286,0.07739761167278
53,25025110301,8803506.22,202.1007,2405,955,338,506,179,241,420,1450,917.61,Roslindale,8.9279034711e-05,0.046575556362346
54,25025140106,3045619.77,69.9178,1901,898,360,658,238,806,1044,1623,679.79,Roslindale,3.0880863892e-05,0.024782408086591
55,25025010701,2177562.16,49.9899,2478,1599,83,158,111,405,516,469,1005.53,Back Bay,2.2104975287e-05,0.023282468798398
56,25025010408,466915.08,10.7189,1426,961,5,34,42,454,496,412,540.77,Fenway,4.739288212e-06,0.008881877471417
57,25025000503,1497746.66,34.3835,2211,1408,71,15,147,451,598,472,893.44,Brighton,1.520162022e-05,0.019129795597044
58,25025030200,718033.85,16.4838,1665,1103,94,11,199,400,599,142,702.05,North End,7.29062603e-06,0.013622671680533
59,25025030100,821725.44,18.8642,1954,1377,104,69,217,581,798,136,848.11,North End,8.343784302e-06,0.013062327230955
60,25025020200,1258118.25,28.8824,3649,2478,135,250,170,802,972,610,1482.61,West End,1.2773593728e-05,0.018248942942056
61,25025010600,3654163.73,83.8881,2858,2325,293,151,683,346,1029,699,1246.18,Back Bay,3.7093132206e-05,0.033558626416507
62,25025010500,2137658.05,49.0739,3044,1767,433,33,511,1080,1591,1074,1251.06,Back Bay,2.1698279287e-05,0.020843738727314
63,25025010300,5480700.06,125.8196,4861,416,207,118,11,186,197,1480,1824.08,Longwood Medical Area,5.5627061855e-05,0.0416211845
64,25025000802,10520753.59,241.5233,8136,3129,639,469,220,3381,3601,3844,3004.1,Brighton,0.000106810742233,0.072405517311157
65,25025000701,2480202.83,56.9376,4446,2359,190,102,126,1176,1302,1396,1708.7,Brighton,2.517608895e-05,0.023056171488549
66,25025981201,8466782.86,194.3706,0,0,0,0,0,0,0,0,0,Dorchester,8.5922730234e-05,0.148207468410562
67,25025981501,9855271.2,226.2459,12,0,0,0,0,0,0,5,5.04,Back Bay,0.000100061316786,0.301473419280318
68,25025981700,3549169.38,81.4777,0,0,0,0,0,0,0,0,0,Back Bay,3.6031326968e-05,0.026562058865742
69,25025981800,11806322.09,271.0359,82,49,0,0,8,0,8,11,43.24,Jamaica Plain,0.000119809493048,0.127828891065495
