,datetime,Boston
0,2012-10-01 12:00:00,
1,2012-10-01 13:00:00,sky is clear
2,2012-10-01 14:00:00,few clouds
3,2012-10-01 15:00:00,few clouds
4,2012-10-01 16:00:00,few clouds
5,2012-10-01 17:00:00,few clouds
6,2012-10-01 18:00:00,few clouds
7,2012-10-01 19:00:00,few clouds
8,2012-10-01 20:00:00,few clouds
9,2012-10-01 21:00:00,few clouds
10,2012-10-01 22:00:00,few clouds
11,2012-10-01 23:00:00,few clouds
12,2012-10-02 00:00:00,few clouds
13,2012-10-02 01:00:00,few clouds
14,2012-10-02 02:00:00,few clouds
15,2012-10-02 03:00:00,few clouds
16,2012-10-02 04:00:00,few clouds
17,2012-10-02 05:00:00,few clouds
18,2012-10-02 06:00:00,few clouds
19,2012-10-02 07:00:00,few clouds
20,2012-10-02 08:00:00,few clouds
21,2012-10-02 09:00:00,few clouds
22,2012-10-02 10:00:00,few clouds
23,2012-10-02 11:00:00,few clouds
24,2012-10-02 12:00:00,few clouds
25,2012-10-02 13:00:00,few clouds
26,2012-10-02 14:00:00,sky is clear
27,2012-10-02 15:00:00,sky is clear
28,2012-10-02 16:00:00,sky is clear
29,2012-10-02 17:00:00,sky is clear
30,2012-10-02 18:00:00,sky is clear
31,2012-10-02 19:00:00,sky is clear
32,2012-10-02 20:00:00,sky is clear
33,2012-10-02 21:00:00,sky is clear
34,2012-10-02 22:00:00,sky is clear
35,2012-10-02 23:00:00,sky is clear
36,2012-10-03 00:00:00,sky is clear
37,2012-10-03 01:00:00,sky is clear
38,2012-10-03 02:00:00,sky is clear
39,2012-10-03 03:00:00,sky is clear
40,2012-10-03 04:00:00,sky is clear
41,2012-10-03 05:00:00,sky is clear
42,2012-10-03 06:00:00,mist
43,2012-10-03 07:00:00,mist
44,2012-10-03 08:00:00,mist
45,2012-10-03 09:00:00,mist
46,2012-10-03 10:00:00,sky is clear
47,2012-10-03 11:00:00,sky is clear
48,2012-10-03 12:00:00,light intensity drizzle
49,2012-10-03 13:00:00,moderate rain
50,2012-10-03 14:00:00,sky is clear
51,2012-10-03 15:00:00,overcast clouds
52,2012-10-03 16:00:00,overcast clouds
53,2012-10-03 17:00:00,light rain
54,2012-10-03 18:00:00,light rain
55,2012-10-03 19:00:00,light rain
56,2012-10-03 20:00:00,light rain
57,2012-10-03 21:00:00,light rain
58,2012-10-03 22:00:00,broken clouds
59,2012-10-03 23:00:00,light rain
60,2012-10-04 00:00:00,light rain
61,2012-10-04 01:00:00,mist
62,2012-10-04 02:00:00,light rain
63,2012-10-04 03:00:00,light rain
64,2012-10-04 04:00:00,mist
65,2012-10-04 05:00:00,mist
66,2012-10-04 06:00:00,mist
67,2012-10-04 07:00:00,mist
68,2012-10-04 08:00:00,fog
69,2012-10-04 09:00:00,mist
70,2012-10-04 10:00:00,light rain
71,2012-10-04 11:00:00,light rain
72,2012-10-04 12:00:00,light rain
73,2012-10-04 13:00:00,mist
74,2012-10-04 14:00:00,mist
75,2012-10-04 15:00:00,mist
76,2012-10-04 16:00:00,light rain
77,2012-10-04 17:00:00,mist
78,2012-10-04 18:00:00,mist
79,2012-10-04 19:00:00,mist
80,2012-10-04 20:00:00,mist
81,2012-10-04 21:00:00,mist
82,2012-10-04 22:00:00,mist
83,2012-10-04 23:00:00,mist
84,2012-10-05 00:00:00,mist
85,2012-10-05 01:00:00,mist
86,2012-10-05 02:00:00,mist
87,2012-10-05 03:00:00,light rain
88,2012-10-05 04:00:00,mist
89,2012-10-05 05:00:00,light rain
90,2012-10-05 06:00:00,mist
91,2012-10-05 07:00:00,overcast clouds
92,2012-10-05 08:00:00,sky is clear
93,2012-10-05 09:00:00,overcast clouds
94,2012-10-05 10:00:00,mist
95,2012-10-05 11:00:00,mist
96,2012-10-05 12:00:00,light rain
97,2012-10-05 13:00:00,mist
98,2012-10-05 14:00:00,mist
99,2012-10-05 15:00:00,mist
100,2012-10-05 16:00:00,light rain
101,2012-10-05 17:00:00,sky is clear
102,2012-10-05 18:00:00,mist
103,2012-10-05 19:00:00,sky is clear
104,2012-10-05 20:00:00,sky is clear
105,2012-10-05 21:00:00,sky is clear
106,2012-10-05 22:00:00,sky is clear
107,2012-10-05 23:00:00,mist
108,2012-10-06 00:00:00,light rain
109,2012-10-06 01:00:00,mist
110,2012-10-06 02:00:00,mist
111,2012-10-06 03:00:00,mist
112,2012-10-06 04:00:00,mist
113,2012-10-06 05:00:00,mist
114,2012-10-06 06:00:00,mist
115,2012-10-06 07:00:00,mist
116,2012-10-06 08:00:00,sky is clear
117,2012-10-06 09:00:00,mist
118,2012-10-06 10:00:00,mist
119,2012-10-06 11:00:00,fog
120,2012-10-06 12:00:00,sky is clear
121,2012-10-06 13:00:00,mist
122,2012-10-06 14:00:00,sky is clear
123,2012-10-06 15:00:00,sky is clear
124,2012-10-06 16:00:00,sky is clear
125,2012-10-06 17:00:00,sky is clear
126,2012-10-06 18:00:00,sky is clear
127,2012-10-06 19:00:00,sky is clear
128,2012-10-06 20:00:00,sky is clear
129,2012-10-06 21:00:00,sky is clear
130,2012-10-06 22:00:00,sky is clear
131,2012-10-06 23:00:00,sky is clear
132,2012-10-07 00:00:00,sky is clear
133,2012-10-07 01:00:00,sky is clear
134,2012-10-07 02:00:00,mist
135,2012-10-07 03:00:00,mist
136,2012-10-07 04:00:00,fog
137,2012-10-07 05:00:00,sky is clear
138,2012-10-07 06:00:00,few clouds
139,2012-10-07 07:00:00,scattered clouds
140,2012-10-07 08:00:00,sky is clear
141,2012-10-07 09:00:00,mist
142,2012-10-07 10:00:00,mist
143,2012-10-07 11:00:00,mist
144,2012-10-07 12:00:00,mist
145,2012-10-07 13:00:00,haze
146,2012-10-07 14:00:00,sky is clear
147,2012-10-07 15:00:00,sky is clear
148,2012-10-07 16:00:00,sky is clear
149,2012-10-07 17:00:00,sky is clear
150,2012-10-07 18:00:00,sky is clear
151,2012-10-07 19:00:00,sky is clear
152,2012-10-07 20:00:00,sky is clear
153,2012-10-07 21:00:00,light rain
154,2012-10-07 22:00:00,overcast clouds
155,2012-10-07 23:00:00,overcast clouds
156,2012-10-08 00:00:00,overcast clouds
157,2012-10-08 01:00:00,few clouds
158,2012-10-08 02:00:00,sky is clear
159,2012-10-08 03:00:00,sky is clear
160,2012-10-08 04:00:00,sky is clear
161,2012-10-08 05:00:00,sky is clear
162,2012-10-08 06:00:00,fog
163,2012-10-08 07:00:00,mist
164,2012-10-08 08:00:00,mist
165,2012-10-08 09:00:00,mist
166,2012-10-08 10:00:00,sky is clear
167,2012-10-08 11:00:00,mist
168,2012-10-08 12:00:00,sky is clear
169,2012-10-08 13:00:00,sky is clear
170,2012-10-08 14:00:00,sky is clear
171,2012-10-08 15:00:00,sky is clear
172,2012-10-08 16:00:00,sky is clear
173,2012-10-08 17:00:00,sky is clear
174,2012-10-08 18:00:00,broken clouds
175,2012-10-08 19:00:00,sky is clear
176,2012-10-08 20:00:00,sky is clear
177,2012-10-08 21:00:00,sky is clear
178,2012-10-08 22:00:00,overcast clouds
179,2012-10-08 23:00:00,overcast clouds
180,2012-10-09 00:00:00,broken clouds
181,2012-10-09 01:00:00,overcast clouds
182,2012-10-09 02:00:00,moderate rain
183,2012-10-09 03:00:00,mist
184,2012-10-09 04:00:00,light rain
185,2012-10-09 05:00:00,overcast clouds
186,2012-10-09 06:00:00,broken clouds
187,2012-10-09 07:00:00,mist
188,2012-10-09 08:00:00,broken clouds
189,2012-10-09 09:00:00,mist
190,2012-10-09 10:00:00,mist
191,2012-10-09 11:00:00,fog
192,2012-10-09 12:00:00,fog
193,2012-10-09 13:00:00,sky is clear
194,2012-10-09 14:00:00,sky is clear
195,2012-10-09 15:00:00,sky is clear
196,2012-10-09 16:00:00,sky is clear
197,2012-10-09 17:00:00,sky is clear
198,2012-10-09 18:00:00,sky is clear
199,2012-10-09 19:00:00,light rain
200,2012-10-09 20:00:00,sky is clear
201,2012-10-09 21:00:00,sky is clear
202,2012-10-09 22:00:00,sky is clear
203,2012-10-09 23:00:00,light intensity drizzle
204,2012-10-10 00:00:00,moderate rain
205,2012-10-10 01:00:00,light intensity drizzle
206,2012-10-10 02:00:00,sky is clear
207,2012-10-10 03:00:00,sky is clear
208,2012-10-10 04:00:00,sky is clear
209,2012-10-10 05:00:00,sky is clear
210,2012-10-10 06:00:00,sky is clear
211,2012-10-10 07:00:00,sky is clear
212,2012-10-10 08:00:00,sky is clear
213,2012-10-10 09:00:00,overcast clouds
214,2012-10-10 10:00:00,overcast clouds
215,2012-10-10 11:00:00,overcast clouds
216,2012-10-10 12:00:00,sky is clear
217,2012-10-10 13:00:00,mist
218,2012-10-10 14:00:00,mist
219,2012-10-10 15:00:00,sky is clear
220,2012-10-10 16:00:00,sky is clear
221,2012-10-10 17:00:00,light rain
222,2012-10-10 18:00:00,sky is clear
223,2012-10-10 19:00:00,sky is clear
224,2012-10-10 20:00:00,overcast clouds
225,2012-10-10 21:00:00,overcast clouds
226,2012-10-10 22:00:00,broken clouds
227,2012-10-10 23:00:00,sky is clear
228,2012-10-11 00:00:00,sky is clear
229,2012-10-11 01:00:00,sky is clear
230,2012-10-11 02:00:00,sky is clear
231,2012-10-11 03:00:00,sky is clear
232,2012-10-11 04:00:00,sky is clear
233,2012-10-11 05:00:00,scattered clouds
234,2012-10-11 06:00:00,sky is clear
235,2012-10-11 07:00:00,overcast clouds
236,2012-10-11 08:00:00,mist
237,2012-10-11 09:00:00,mist
238,2012-10-11 10:00:00,mist
239,2012-10-11 11:00:00,mist
240,2012-10-11 12:00:00,light rain
241,2012-10-11 13:00:00,mist
242,2012-10-11 14:00:00,light rain
243,2012-10-11 15:00:00,sky is clear
244,2012-10-11 16:00:00,overcast clouds
245,2012-10-11 17:00:00,overcast clouds
246,2012-10-11 18:00:00,overcast clouds
247,2012-10-11 19:00:00,sky is clear
248,2012-10-11 20:00:00,sky is clear
249,2012-10-11 21:00:00,light rain
250,2012-10-11 22:00:00,mist
251,2012-10-11 23:00:00,mist
252,2012-10-12 00:00:00,mist
253,2012-10-12 01:00:00,mist
254,2012-10-12 02:00:00,mist
255,2012-10-12 03:00:00,mist
256,2012-10-12 04:00:00,mist
257,2012-10-12 05:00:00,mist
258,2012-10-12 06:00:00,mist
259,2012-10-12 07:00:00,mist
260,2012-10-12 08:00:00,mist
261,2012-10-12 09:00:00,mist
262,2012-10-12 10:00:00,mist
263,2012-10-12 11:00:00,mist
264,2012-10-12 12:00:00,sky is clear
265,2012-10-12 13:00:00,sky is clear
266,2012-10-12 14:00:00,sky is clear
267,2012-10-12 15:00:00,sky is clear
268,2012-10-12 16:00:00,sky is clear
269,2012-10-12 17:00:00,sky is clear
270,2012-10-12 18:00:00,sky is clear
271,2012-10-12 19:00:00,sky is clear
272,2012-10-12 20:00:00,sky is clear
273,2012-10-12 21:00:00,sky is clear
274,2012-10-12 22:00:00,sky is clear
275,2012-10-12 23:00:00,sky is clear
276,2012-10-13 00:00:00,sky is clear
277,2012-10-13 01:00:00,sky is clear
278,2012-10-13 02:00:00,sky is clear
279,2012-10-13 03:00:00,sky is clear
280,2012-10-13 04:00:00,sky is clear
281,2012-10-13 05:00:00,sky is clear
282,2012-10-13 06:00:00,sky is clear
283,2012-10-13 07:00:00,sky is clear
284,2012-10-13 08:00:00,sky is clear
285,2012-10-13 09:00:00,sky is clear
286,2012-10-13 10:00:00,sky is clear
287,2012-10-13 11:00:00,sky is clear
288,2012-10-13 12:00:00,sky is clear
289,2012-10-13 13:00:00,light rain
290,2012-10-13 14:00:00,light rain
291,2012-10-13 15:00:00,light rain
292,2012-10-13 16:00:00,light rain
293,2012-10-13 17:00:00,light rain
294,2012-10-13 18:00:00,overcast clouds
295,2012-10-13 19:00:00,broken clouds
296,2012-10-13 20:00:00,broken clouds
297,2012-10-13 21:00:00,sky is clear
298,2012-10-13 22:00:00,sky is clear
299,2012-10-13 23:00:00,sky is clear
300,2012-10-14 00:00:00,few clouds
301,2012-10-14 01:00:00,sky is clear
302,2012-10-14 02:00:00,sky is clear
303,2012-10-14 03:00:00,sky is clear
304,2012-10-14 04:00:00,sky is clear
305,2012-10-14 05:00:00,sky is clear
306,2012-10-14 06:00:00,sky is clear
307,2012-10-14 07:00:00,sky is clear
308,2012-10-14 08:00:00,sky is clear
309,2012-10-14 09:00:00,sky is clear
310,2012-10-14 10:00:00,sky is clear
311,2012-10-14 11:00:00,sky is clear
312,2012-10-14 12:00:00,sky is clear
313,2012-10-14 13:00:00,sky is clear
314,2012-10-14 14:00:00,sky is clear
315,2012-10-14 15:00:00,sky is clear
316,2012-10-14 16:00:00,sky is clear
317,2012-10-14 17:00:00,sky is clear
318,2012-10-14 18:00:00,sky is clear
319,2012-10-14 19:00:00,sky is clear
320,2012-10-14 20:00:00,sky is clear
321,2012-10-14 21:00:00,sky is clear
322,2012-10-14 22:00:00,sky is clear
323,2012-10-14 23:00:00,sky is clear
324,2012-10-15 00:00:00,sky is clear
325,2012-10-15 01:00:00,sky is clear
326,2012-10-15 02:00:00,few clouds
327,2012-10-15 03:00:00,sky is clear
328,2012-10-15 04:00:00,sky is clear
329,2012-10-15 05:00:00,sky is clear
330,2012-10-15 06:00:00,few clouds
331,2012-10-15 07:00:00,light rain
332,2012-10-15 08:00:00,light rain
333,2012-10-15 09:00:00,light rain
334,2012-10-15 10:00:00,moderate rain
335,2012-10-15 11:00:00,moderate rain
336,2012-10-15 12:00:00,mist
337,2012-10-15 13:00:00,moderate rain
338,2012-10-15 14:00:00,light rain
339,2012-10-15 15:00:00,light rain
340,2012-10-15 16:00:00,light rain
341,2012-10-15 17:00:00,light rain
342,2012-10-15 18:00:00,sky is clear
343,2012-10-15 19:00:00,sky is clear
344,2012-10-15 20:00:00,sky is clear
345,2012-10-15 21:00:00,sky is clear
346,2012-10-15 22:00:00,sky is clear
347,2012-10-15 23:00:00,sky is clear
348,2012-10-16 00:00:00,sky is clear
349,2012-10-16 01:00:00,sky is clear
350,2012-10-16 02:00:00,sky is clear
351,2012-10-16 03:00:00,sky is clear
352,2012-10-16 04:00:00,sky is clear
353,2012-10-16 05:00:00,sky is clear
354,2012-10-16 06:00:00,sky is clear
355,2012-10-16 07:00:00,sky is clear
356,2012-10-16 08:00:00,sky is clear
357,2012-10-16 09:00:00,sky is clear
358,2012-10-16 10:00:00,sky is clear
359,2012-10-16 11:00:00,sky is clear
360,2012-10-16 12:00:00,sky is clear
361,2012-10-16 13:00:00,sky is clear
362,2012-10-16 14:00:00,sky is clear
363,2012-10-16 15:00:00,sky is clear
364,2012-10-16 16:00:00,sky is clear
365,2012-10-16 17:00:00,sky is clear
366,2012-10-16 18:00:00,sky is clear
367,2012-10-16 19:00:00,sky is clear
368,2012-10-16 20:00:00,sky is clear
369,2012-10-16 21:00:00,sky is clear
370,2012-10-16 22:00:00,sky is clear
371,2012-10-16 23:00:00,light rain
372,2012-10-17 00:00:00,heavy intensity rain
373,2012-10-17 01:00:00,light rain
374,2012-10-17 02:00:00,light rain
375,2012-10-17 03:00:00,light rain
376,2012-10-17 04:00:00,light rain
377,2012-10-17 05:00:00,mist
378,2012-10-17 06:00:00,light rain
379,2012-10-17 07:00:00,sky is clear
380,2012-10-17 08:00:00,sky is clear
381,2012-10-17 09:00:00,light rain
382,2012-10-17 10:00:00,sky is clear
383,2012-10-17 11:00:00,sky is clear
384,2012-10-17 12:00:00,sky is clear
385,2012-10-17 13:00:00,sky is clear
386,2012-10-17 14:00:00,sky is clear
387,2012-10-17 15:00:00,few clouds
388,2012-10-17 16:00:00,few clouds
389,2012-10-17 17:00:00,sky is clear
390,2012-10-17 18:00:00,sky is clear
391,2012-10-17 19:00:00,sky is clear
392,2012-10-17 20:00:00,sky is clear
393,2012-10-17 21:00:00,sky is clear
394,2012-10-17 22:00:00,sky is clear
395,2012-10-17 23:00:00,sky is clear
396,2012-10-18 00:00:00,sky is clear
397,2012-10-18 01:00:00,sky is clear
398,2012-10-18 02:00:00,sky is clear
399,2012-10-18 03:00:00,sky is clear
400,2012-10-18 04:00:00,sky is clear
401,2012-10-18 05:00:00,sky is clear
402,2012-10-18 06:00:00,heavy snow
403,2012-10-18 07:00:00,sky is clear
404,2012-10-18 08:00:00,mist
405,2012-10-18 09:00:00,mist
406,2012-10-18 10:00:00,mist
407,2012-10-18 11:00:00,sky is clear
408,2012-10-18 12:00:00,sky is clear
409,2012-10-18 13:00:00,sky is clear
410,2012-10-18 14:00:00,sky is clear
411,2012-10-18 15:00:00,sky is clear
412,2012-10-18 16:00:00,sky is clear
413,2012-10-18 17:00:00,sky is clear
414,2012-10-18 18:00:00,sky is clear
415,2012-10-18 19:00:00,sky is clear
416,2012-10-18 20:00:00,sky is clear
417,2012-10-18 21:00:00,sky is clear
418,2012-10-18 22:00:00,sky is clear
419,2012-10-18 23:00:00,sky is clear
420,2012-10-19 00:00:00,sky is clear
421,2012-10-19 01:00:00,sky is clear
422,2012-10-19 02:00:00,sky is clear
423,2012-10-19 03:00:00,sky is clear
424,2012-10-19 04:00:00,sky is clear
425,2012-10-19 05:00:00,sky is clear
426,2012-10-19 06:00:00,sky is clear
427,2012-10-19 07:00:00,mist
428,2012-10-19 08:00:00,mist
429,2012-10-19 09:00:00,mist
430,2012-10-19 10:00:00,fog
431,2012-10-19 11:00:00,fog
432,2012-10-19 12:00:00,sky is clear
433,2012-10-19 13:00:00,sky is clear
434,2012-10-19 14:00:00,sky is clear
435,2012-10-19 15:00:00,sky is clear
436,2012-10-19 16:00:00,sky is clear
437,2012-10-19 17:00:00,sky is clear
438,2012-10-19 18:00:00,sky is clear
439,2012-10-19 19:00:00,sky is clear
440,2012-10-19 20:00:00,sky is clear
441,2012-10-19 21:00:00,sky is clear
442,2012-10-19 22:00:00,sky is clear
443,2012-10-19 23:00:00,sky is clear
444,2012-10-20 00:00:00,sky is clear
445,2012-10-20 01:00:00,scattered clouds
446,2012-10-20 02:00:00,sky is clear
447,2012-10-20 03:00:00,mist
448,2012-10-20 04:00:00,mist
449,2012-10-20 05:00:00,sky is clear
450,2012-10-20 06:00:00,mist
451,2012-10-20 07:00:00,overcast clouds
452,2012-10-20 08:00:00,mist
453,2012-10-20 09:00:00,mist
454,2012-10-20 10:00:00,mist
455,2012-10-20 11:00:00,light rain
456,2012-10-20 12:00:00,light rain
457,2012-10-20 13:00:00,mist
458,2012-10-20 14:00:00,overcast clouds
459,2012-10-20 15:00:00,mist
460,2012-10-20 16:00:00,mist
461,2012-10-20 17:00:00,sky is clear
462,2012-10-20 18:00:00,light rain
463,2012-10-20 19:00:00,light rain
464,2012-10-20 20:00:00,mist
465,2012-10-20 21:00:00,mist
466,2012-10-20 22:00:00,moderate rain
467,2012-10-20 23:00:00,moderate rain
468,2012-10-21 00:00:00,mist
469,2012-10-21 01:00:00,light rain
470,2012-10-21 02:00:00,mist
471,2012-10-21 03:00:00,mist
472,2012-10-21 04:00:00,mist
473,2012-10-21 05:00:00,fog
474,2012-10-21 06:00:00,overcast clouds
475,2012-10-21 07:00:00,broken clouds
476,2012-10-21 08:00:00,broken clouds
477,2012-10-21 09:00:00,broken clouds
478,2012-10-21 10:00:00,scattered clouds
479,2012-10-21 11:00:00,scattered clouds
480,2012-10-21 12:00:00,few clouds
481,2012-10-21 13:00:00,fog
482,2012-10-21 14:00:00,few clouds
483,2012-10-21 15:00:00,sky is clear
484,2012-10-21 16:00:00,sky is clear
485,2012-10-21 17:00:00,sky is clear
486,2012-10-21 18:00:00,sky is clear
487,2012-10-21 19:00:00,sky is clear
488,2012-10-21 20:00:00,sky is clear
489,2012-10-21 21:00:00,sky is clear
490,2012-10-21 22:00:00,sky is clear
491,2012-10-21 23:00:00,sky is clear
492,2012-10-22 00:00:00,sky is clear
493,2012-10-22 01:00:00,sky is clear
494,2012-10-22 02:00:00,sky is clear
495,2012-10-22 03:00:00,sky is clear
496,2012-10-22 04:00:00,sky is clear
497,2012-10-22 05:00:00,sky is clear
498,2012-10-22 06:00:00,sky is clear
499,2012-10-22 07:00:00,sky is clear
500,2012-10-22 08:00:00,sky is clear
501,2012-10-22 09:00:00,mist
502,2012-10-22 10:00:00,sky is clear
503,2012-10-22 11:00:00,sky is clear
504,2012-10-22 12:00:00,sky is clear
505,2012-10-22 13:00:00,sky is clear
506,2012-10-22 14:00:00,sky is clear
507,2012-10-22 15:00:00,sky is clear
508,2012-10-22 16:00:00,sky is clear
509,2012-10-22 17:00:00,broken clouds
510,2012-10-22 18:00:00,sky is clear
511,2012-10-22 19:00:00,sky is clear
512,2012-10-22 20:00:00,sky is clear
513,2012-10-22 21:00:00,sky is clear
514,2012-10-22 22:00:00,sky is clear
515,2012-10-22 23:00:00,sky is clear
516,2012-10-23 00:00:00,sky is clear
517,2012-10-23 01:00:00,sky is clear
518,2012-10-23 02:00:00,sky is clear
519,2012-10-23 03:00:00,sky is clear
520,2012-10-23 04:00:00,sky is clear
521,2012-10-23 05:00:00,sky is clear
522,2012-10-23 06:00:00,sky is clear
523,2012-10-23 07:00:00,sky is clear
524,2012-10-23 08:00:00,sky is clear
525,2012-10-23 09:00:00,sky is clear
526,2012-10-23 10:00:00,sky is clear
527,2012-10-23 11:00:00,sky is clear
528,2012-10-23 12:00:00,mist
529,2012-10-23 13:00:00,sky is clear
530,2012-10-23 14:00:00,sky is clear
531,2012-10-23 15:00:00,sky is clear
532,2012-10-23 16:00:00,sky is clear
533,2012-10-23 17:00:00,sky is clear
534,2012-10-23 18:00:00,sky is clear
535,2012-10-23 19:00:00,sky is clear
536,2012-10-23 20:00:00,sky is clear
537,2012-10-23 21:00:00,sky is clear
538,2012-10-23 22:00:00,sky is clear
539,2012-10-23 23:00:00,sky is clear
540,2012-10-24 00:00:00,sky is clear
541,2012-10-24 01:00:00,sky is clear
542,2012-10-24 02:00:00,sky is clear
543,2012-10-24 03:00:00,sky is clear
544,2012-10-24 04:00:00,sky is clear
545,2012-10-24 05:00:00,sky is clear
546,2012-10-24 06:00:00,sky is clear
547,2012-10-24 07:00:00,mist
548,2012-10-24 08:00:00,sky is clear
549,2012-10-24 09:00:00,sky is clear
550,2012-10-24 10:00:00,sky is clear
551,2012-10-24 11:00:00,sky is clear
552,2012-10-24 12:00:00,sky is clear
553,2012-10-24 13:00:00,sky is clear
554,2012-10-24 14:00:00,sky is clear
555,2012-10-24 15:00:00,sky is clear
556,2012-10-24 16:00:00,sky is clear
557,2012-10-24 17:00:00,sky is clear
558,2012-10-24 18:00:00,sky is clear
559,2012-10-24 19:00:00,sky is clear
560,2012-10-24 20:00:00,sky is clear
561,2012-10-24 21:00:00,sky is clear
562,2012-10-24 22:00:00,sky is clear
563,2012-10-24 23:00:00,sky is clear
564,2012-10-25 00:00:00,sky is clear
565,2012-10-25 01:00:00,sky is clear
566,2012-10-25 02:00:00,overcast clouds
567,2012-10-25 03:00:00,overcast clouds
568,2012-10-25 04:00:00,overcast clouds
569,2012-10-25 05:00:00,overcast clouds
570,2012-10-25 06:00:00,overcast clouds
571,2012-10-25 07:00:00,overcast clouds
572,2012-10-25 08:00:00,overcast clouds
573,2012-10-25 09:00:00,overcast clouds
574,2012-10-25 10:00:00,overcast clouds
