X,Y,OBJECTID,Address,Notes,AP_Name,Neighborhood
-71.059205028972116,42.297974416794538,3202,"40 Gibson St., Dorchester, MA",lower roof,DOT-BPDC11-AP1,Dorchester
-71.067802203583497,42.314698685398,3203,"500 Columbia Rd., Dorchester, MA",,DOT-BPL-AP3,Dorchester
-71.067646411458711,42.314994066214183,3204,"500 Columbia Rd., Dorchester, MA",,DOT-BPL-AP2,Dorchester
-71.063233707120048,42.318381430192687,3205,"641 Columbia Rd., Dorchester, MA",,DOT-BFD21-AP1,Dorchester
-71.063282154161655,42.318291816482635,3206,"641 Columbia Rd., Dorchester, MA",,DOT-BFD21-AP2,Dorchester
-71.063148424660255,42.318299660360886,3207,"641 Columbia Rd., Dorchester, MA",,DOT-BFD21-AP3,Dorchester
-71.068354127595754,42.313098376590702,3208,,,DOT-BPL-AP5,Dorchester
-71.073871683377064,42.305481239619667,3209,"85 Olney St., Dorchester, MA",need photo,DOT-HOLLAND-AP1,Dorchester
-71.073786364086331,42.305699233704964,3211,"85 Olney St., Dorchester, MA",need photo,DOT-HOLLAND-AP2,Dorchester
-71.063431939252126,42.303776023811054,3212,"77 Mt. Ida Rd., Dorchester, MA",need address verification,DOT-MTIDA-AP1,Dorchester
-71.060976442033692,42.308310045609645,3602,"1 Parish St., Dorchester, MA",,DOT-MATHER-AP1,Dorchester
-71.061095164279962,42.308483572127024,3603,"1 Parish St., Dorchester, MA",,DOT-MATHER-AP3,Dorchester
-71.060726166005637,42.308362660858137,3604,"1 Parish St., Dorchester, MA",,DOT-MATHER-AP2,Dorchester
-71.061952965544762,42.300970500377666,3605,"11 Charles St., Dorchester, MA",,DOT-CLEVELAND-AP1,Dorchester
-71.061660306103292,42.305159790226568,3606,"88-98 Linden St., Dorchester, MA",,DOT-LINDEN-AP1,Dorchester
-71.07521522258061,42.296547620291079,3607,"40 School St., Dorchester, MA",,DOT-HOLMES-AP1,Dorchester
-71.080654586304661,42.296586221322343,3608,"189 Glenway St., Dorchester, MA",,DOT-GREENWOOD-AP1,Dorchester
-71.068804209604224,42.327454605015099,3610,"125 Magazine St., Roxbury, MA",need location verification,ROX-MAGAZINE-AP2,Roxbury
-71.071034274602098,42.326078346110862,3611,"150 Norfolk Ave., Roxbury, MA - fire escape",need location verification,ROX-MASON-AP1,Roxbury
-71.071272689275148,42.326206724867625,3612,"150 Norfolk Ave., Roxbury, MA - fire escape",need location verification,ROX-MASON-AP2,Roxbury
-71.072725861570916,42.323551429798712,3613,"6 Shirley St., Roxbury, MA",need location verification,ROX-EMERSON-AP2,Roxbury
-71.076771407384953,42.326639254660435,3614,"339 Dudley St., Roxbury, MA",need location verification,ROX-VINE-AP3,Roxbury
-71.077727775395999,42.330472660551827,3615,"906 Albany St., Roxbury, MA",need location verification,ROX-ORCHARD-AP1,Roxbury
-71.075769502873854,42.318016649107953,3619,"35 Brookford St., Roxbury, MA",need location verification,ROX-WINTHROP-AP3,Roxbury
-71.075818343377534,42.318439960601708,3620,"Brookford St. & Judson St., Roxbury, MA",need location verification,ROX-WINTHROP-AP4,Roxbury
-71.085083933730573,42.316317318692356,3621,"205 Townsend St., Roxbury, MA",need location verification,ROX-BLA-AP1,Roxbury
-71.088363911903286,42.314593827475456,3622,"Humboldt Ave. & Waumbeck St., Roxbury, MA",need location verification,ROX-TROTTER-AP2,Roxbury
-71.088063477543045,42.315226872267957,3623,"135 Humboldt Ave., Roxbury, MA",need location verification,ROX-TROTTER-AP1,Roxbury
-71.097346090072406,42.315305551967732,3626,"1990 Columbus Ave., Roxbury, MA",need location verification,ROX-EGLESTON-AP2,Roxbury
-71.096372520221976,42.317662052625352,3628,"Washington St. & Cobden St., Roxbury, MA",need location verification,ROX-EGLESTON-AP1,Roxbury
-71.053841348310755,42.359953364791444,3629,"Faneuil Hall Square, Boston, MA","need photo,S Market furthest from city hall",DT-QUINCYMARKET-AP3,Downtown
-71.058370449157394,42.360615098469083,3630,"1 City Hall Square, Boston, MA","need photo, right side facing Faneuil Hall",DT-CITYHALL-AP1,Downtown
-71.057505945562269,42.360179431645747,3631,"1 City Hall Square, Boston, MA","need photo, right side facing plaza",DT-CITYHALL-AP3,Downtown
-71.059929720573052,42.3601907246452,3632,"1 City Hall Square, Boston, MA","need photo, light pole facing Court St",DT-CITYHALL-MARKETPOLE,Downtown
-71.067816243353079,42.314800472245508,4005,"500 Columbia Rd., Dorchester, MA",,DOT-BPL-AP1,Dorchester
-71.067448020324861,42.314818190866909,4006,"500 Columbia Rd., Dorchester, MA",,DOT-BPL-AP4,Dorchester
-71.070661180908402,42.299828485279107,4007,"35 Westville St., Dorchester, MA",,DOT-MARSHALL-AP2,Dorchester
-71.071225018377959,42.29976588988864,4008,"35 Westville St., Dorchester, MA",,DOT-MARSHALL-AP1,Dorchester
-71.075395042842601,42.296514431916904,4009,"40 School St., Dorchester, MA",,DOT-HOLMES-AP2,Dorchester
-71.08062391063433,42.296446334166248,4010,"189 Glenway St., Dorchester, MA",,DOT-GREENWOOD-AP2,Dorchester
-71.076421693244839,42.311153848035516,4406,"77 Lawrence Ave., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP3,Roxbury
-71.076130843908686,42.311035185255413,4407,"77 Lawrence Ave., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP1,Roxbury
-71.077764490439975,42.310683235901436,4409,"Fernboro St. & Intervale St., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP4,Roxbury
-71.076739810043136,42.310957828829622,4805,"77 Lawrence Ave., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP2,Roxbury
-71.06886535433236,42.327537503262896,4806,"125 Magazine St., Roxbury, MA",need location verification,ROX-MAGAZINE-AP1,Roxbury
-71.073020295185074,42.323464893265125,4807,"6 Shirley St., Roxbury, MA",need location verification,ROX-EMERSON-AP1,Roxbury
